"","prey","predator"
"8011",0.123870728416468,0.123870728416468
"8012",0.123359429986193,0.123359429986193
"8013",0.123381118896441,0.123381118896441
"8014",0.123093180383155,0.123093180383155
"8015",0.123357397597707,0.123357397597707
"8016",0.123286751123789,0.123286751123789
"8017",0.123091175704029,0.123091175704029
"8018",0.123399938068347,0.123399938068347
"8019",0.123310259888616,0.123310259888616
"8020",0.123528160302602,0.123528160302602
"8021",0.124150168446966,0.124150168446966
"8022",0.124437144621534,0.124437144621534
"8023",0.124034290399726,0.124034290399726
"8024",0.123766202214483,0.123766202214483
"8025",0.123519884432935,0.123519884432935
"8026",0.123680589278578,0.123680589278578
"8027",0.123872815230385,0.123872815230385
"8028",0.123813544370881,0.123813544370881
"8029",0.124151267834892,0.124151267834892
"8030",0.124369399292799,0.124369399292799
"8031",0.124472845773679,0.124472845773679
"8032",0.124541414778977,0.124541414778977
"8033",0.124048270156034,0.124048270156034
"8034",0.123277661875518,0.123277661875518
"8035",0.123607152606811,0.123607152606811
"8036",0.123827564879422,0.123827564879422
"8037",0.124029924045405,0.124029924045405
"8038",0.124376075082237,0.124376075082237
"8039",0.124653982736076,0.124653982736076
"8040",0.124023557091403,0.124023557091403
"8041",0.123810438891872,0.123810438891872
"8042",0.122968442286825,0.122968442286825
"8043",0.122664351996405,0.122664351996405
"8044",0.122617663529115,0.122617663529115
"8045",0.122640420646839,0.122640420646839
"8046",0.122826746647735,0.122826746647735
"8047",0.122234854399482,0.122234854399482
"8048",0.121951121620245,0.121951121620245
"8049",0.12197024551149,0.12197024551149
"8050",0.121713258038813,0.121713258038813
"8051",0.121918745333269,0.121918745333269
"8052",0.121914205594282,0.121914205594282
"8053",0.121954882215492,0.121954882215492
"8054",0.121958431703787,0.121958431703787
"8055",0.121480360327069,0.121480360327069
"8056",0.121634740648988,0.121634740648988
"8057",0.121236551470241,0.121236551470241
"8058",0.121864751965499,0.121864751965499
"8059",0.121376650072653,0.121376650072653
"8060",0.121187373629395,0.121187373629395
"8061",0.120816716226642,0.120816716226642
"8062",0.121102840765599,0.121102840765599
"8063",0.121188219505682,0.121188219505682
"8064",0.120891664090082,0.120891664090082
"8065",0.121029060057923,0.121029060057923
"8066",0.121456215341762,0.121456215341762
"8067",0.121822211882639,0.121822211882639
"8068",0.121552227316681,0.121552227316681
"8069",0.121614676412773,0.121614676412773
"8070",0.121476571917577,0.121476571917577
"8071",0.121330018997268,0.121330018997268
"8072",0.121004617556261,0.121004617556261
"8073",0.121703745177613,0.121703745177613
"8074",0.121367264534307,0.121367264534307
"8075",0.121717261370894,0.121717261370894
"8076",0.121248675226984,0.121248675226984
"8077",0.12203352317169,0.12203352317169
"8078",0.121684718856261,0.121684718856261
"8079",0.122185127759951,0.122185127759951
"8080",0.122711223866635,0.122711223866635
"8081",0.12263590396363,0.12263590396363
"8082",0.122926502746923,0.122926502746923
"8083",0.123089216188142,0.123089216188142
"8084",0.123200207854713,0.123200207854713
"8085",0.123464745717856,0.123464745717856
"8086",0.123961911924926,0.123961911924926
"8087",0.124289594483103,0.124289594483103
"8088",0.124741202521993,0.124741202521993
"8089",0.124611765540679,0.124611765540679
"8090",0.125145332706086,0.125145332706086
"8091",0.125993556903475,0.125993556903475
"8092",0.126586633594645,0.126586633594645
"8093",0.126590303654556,0.126590303654556
"8094",0.126598855910873,0.126598855910873
"8095",0.127314857035288,0.127314857035288
"8096",0.127945241603577,0.127945241603577
"8097",0.128101258663002,0.128101258663002
"8098",0.128604659114574,0.128604659114574
"8099",0.12856479360593,0.12856479360593
"8100",0.12870366571415,0.12870366571415
"8101",0.128517755085782,0.128517755085782
"8102",0.128503240371816,0.128503240371816
"8103",0.12810066032518,0.12810066032518
"8104",0.128168694464301,0.128168694464301
"8105",0.127887782271638,0.127887782271638
"8106",0.128347670936819,0.128347670936819
"8107",0.12801394203951,0.12801394203951
"8108",0.127805329198853,0.127805329198853
"8109",0.12853091024051,0.12853091024051
"8110",0.128406183275883,0.128406183275883
"8111",0.128086271629302,0.128086271629302
"8112",0.127398616020657,0.127398616020657
"8113",0.127421691388526,0.127421691388526
"8114",0.126837327631244,0.126837327631244
"8115",0.126833101346421,0.126833101346421
"8116",0.12706702940946,0.12706702940946
"8117",0.127077578279736,0.127077578279736
"8118",0.126056065918119,0.126056065918119
"8119",0.126323964985969,0.126323964985969
"8120",0.126255896590035,0.126255896590035
"8121",0.12604336011512,0.12604336011512
"8122",0.125623092295804,0.125623092295804
"8123",0.125136383122629,0.125136383122629
"8124",0.125393346299869,0.125393346299869
"8125",0.12519141207146,0.12519141207146
"8126",0.124829233001248,0.124829233001248
"8127",0.124238610590046,0.124238610590046
"8128",0.124447747610503,0.124447747610503
"8129",0.124507140518746,0.124507140518746
"8130",0.124907021735307,0.124907021735307
"8131",0.125155152255498,0.125155152255498
"8132",0.125346193511837,0.125346193511837
"8133",0.125301210731888,0.125301210731888
"8134",0.125890227796272,0.125890227796272
"8135",0.125994785062922,0.125994785062922
"8136",0.125077916776143,0.125077916776143
"8137",0.1252328104629,0.1252328104629
"8138",0.125255475106698,0.125255475106698
"8139",0.125330529421282,0.125330529421282
"8140",0.125312172371945,0.125312172371945
"8141",0.125743370042293,0.125743370042293
"8142",0.125300891786263,0.125300891786263
"8143",0.12598564786673,0.12598564786673
"8144",0.126043900219732,0.126043900219732
"8145",0.12555470258239,0.12555470258239
"8146",0.125639062768741,0.125639062768741
"8147",0.125761510848986,0.125761510848986
"8148",0.125334185983792,0.125334185983792
"8149",0.125539227620501,0.125539227620501
"8150",0.125578415423123,0.125578415423123
"8151",0.126224129530778,0.126224129530778
"8152",0.1260751294076,0.1260751294076
"8153",0.126303396065573,0.126303396065573
"8154",0.125784633288228,0.125784633288228
"8155",0.125575220457076,0.125575220457076
"8156",0.125692168275834,0.125692168275834
"8157",0.125658214368624,0.125658214368624
"8158",0.125721051418817,0.125721051418817
"8159",0.126286436708195,0.126286436708195
"8160",0.126707054867696,0.126707054867696
"8161",0.126524305101949,0.126524305101949
"8162",0.126400896555384,0.126400896555384
"8163",0.12617905695812,0.12617905695812
"8164",0.126221563437382,0.126221563437382
"8165",0.126205928539977,0.126205928539977
"8166",0.126403092055361,0.126403092055361
"8167",0.126634786390748,0.126634786390748
"8168",0.126754112760323,0.126754112760323
"8169",0.126675788580807,0.126675788580807
